[2025-07-29 15:06:23,899: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:06:43,956: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:06:43,961: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:06:43,965: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:06:43,968: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:06:43,972: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:06:43,975: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:06:43,979: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:07:04,044: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:07:04,046: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:07:04,050: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:07:04,054: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:07:04,059: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:07:04,065: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:07:04,070: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:07:24,134: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:07:24,140: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:07:24,145: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:07:24,155: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:07:24,160: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:07:24,170: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:07:24,183: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:08:58,773: INFO/MainProcess] beat: Starting...
[2025-07-29 15:08:58,794: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:08:58,816: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:08:58,820: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:08:58,822: INFO/MainProcess] beat: Starting...
[2025-07-29 15:08:58,827: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:08:58,835: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:08:58,836: ERROR/MainProcess] Removing corrupted schedule file 'celerybeat-schedule': error(11, 'Resource temporarily unavailable')
Traceback (most recent call last):
  File "/home/deepeshkumar/Desktop/Mad-2-project/.venv/lib/python3.10/site-packages/celery/beat.py", line 532, in setup_schedule
    self._store = self._open_schedule()
  File "/home/deepeshkumar/Desktop/Mad-2-project/.venv/lib/python3.10/site-packages/celery/beat.py", line 522, in _open_schedule
    return self.persistence.open(self.schedule_filename, writeback=True)
  File "/usr/lib/python3.10/shelve.py", line 243, in open
    return DbfilenameShelf(filename, flag, protocol, writeback)
  File "/usr/lib/python3.10/shelve.py", line 227, in __init__
    Shelf.__init__(self, dbm.open(filename, flag), protocol, writeback)
  File "/usr/lib/python3.10/dbm/__init__.py", line 95, in open
    return mod.open(file, flag, mode)
_gdbm.error: [Errno 11] Resource temporarily unavailable: 'celerybeat-schedule'
[2025-07-29 15:08:58,843: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:08:58,848: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:09:18,876: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:09:18,881: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:09:18,885: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:09:18,889: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:09:18,891: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:09:18,892: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:09:18,893: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:09:18,937: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:09:18,953: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:09:18,954: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:09:18,955: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:09:18,959: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:09:18,964: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:09:18,968: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:09:38,967: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:09:38,972: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:09:38,978: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:09:38,987: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:09:38,993: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:09:39,000: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:09:39,007: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:09:39,021: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:09:39,025: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:09:39,029: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:09:39,033: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:09:39,038: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:09:39,044: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:09:39,049: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:09:59,055: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:09:59,060: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:09:59,064: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:09:59,068: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:09:59,072: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:09:59,076: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:09:59,080: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:09:59,112: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:09:59,124: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:09:59,132: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:09:59,139: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:09:59,150: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:09:59,155: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
